Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-08-14,22:00 (16:00),La Liga,Matchweek 1,Sat,Away,W,4,1,Alavés,1.8,1.7,58,3968,Karim Benzema,4-3-3,César Soto,Match Report,
2021-08-22,22:00 (16:00),La Liga,Matchweek 2,Sun,Away,D,3,3,Levante,1.2,1.9,62,9838,Karim Benzema,4-3-3,Guillermo Cuadra,Match Report,
2021-08-28,22:00 (16:00),La Liga,Matchweek 3,Sat,Away,W,1,0,Betis,1.1,0.8,49,22590,Karim Benzema,4-3-3,Alejandro Hernández,Match Report,
2021-09-12,21:00 (15:00),La Liga,Matchweek 4,Sun,Home,W,5,2,Celta Vigo,3.4,1.8,60,19874,Karim Benzema,4-4-2,José Sánchez,Match Report,
2021-09-15,21:00 (15:00),Champions Lg,Group stage,Wed,Away,W,1,0,it Inter,1.1,2.0,53,37082,Karim Benzema,4-3-3,Daniel Siebert,Match Report,
2021-09-19,21:00 (15:00),La Liga,Matchweek 5,Sun,Away,W,2,1,Valencia,1.1,0.8,61,26689,Karim Benzema,4-4-1-1,Pablo González,Match Report,
2021-09-22,22:00 (16:00),La Liga,Matchweek 6,Wed,Home,W,6,1,Mallorca,2.9,1.1,59,20113,Karim Benzema,4-3-3,Alberola Rojas,Match Report,
2021-09-25,21:00 (15:00),La Liga,Matchweek 7,Sat,Home,D,0,0,Villarreal,1.4,0.8,49,23985,Karim Benzema,4-3-3,Jesús Gil,Match Report,
2021-09-28,21:00 (15:00),Champions Lg,Group stage,Tue,Home,L,1,2,md Sheriff Tiraspol,3.3,0.2,74,24522,Karim Benzema,4-3-3,Lawrence Visser,Match Report,
2021-10-03,16:15 (10:15),La Liga,Matchweek 8,Sun,Away,L,1,2,Espanyol,1.4,1.5,65,23377,Karim Benzema,4-4-2◆,Guillermo Cuadra,Match Report,
2021-10-19,22:00 (15:00),Champions Lg,Group stage,Tue,Away,W,5,0,ua Shakhtar,2.5,0.5,58,34037,Karim Benzema,4-3-3,Srđan Jovanović,Match Report,
2021-10-24,16:15 (10:15),La Liga,Matchweek 10,Sun,Away,W,2,1,Barcelona,1.1,1.7,49,86422,Karim Benzema,4-3-3,José Sánchez,Match Report,
2021-10-27,21:30 (15:30),La Liga,Matchweek 11,Wed,Home,D,0,0,Osasuna,0.8,0.8,74,35691,Karim Benzema,4-3-3,César Soto,Match Report,
2021-10-30,14:00 (08:00),La Liga,Matchweek 12,Sat,Away,W,2,1,Elche,1.1,1.3,56,23010,Marcelo,4-3-3,Ricardo de Burgos,Match Report,
2021-11-03,18:45 (13:45),Champions Lg,Group stage,Wed,Home,W,2,1,ua Shakhtar,2.4,1.1,54,38105,Karim Benzema,4-3-3,Benoît Bastien,Match Report,
2021-11-06,21:00 (16:00),La Liga,Matchweek 13,Sat,Home,W,2,1,Rayo Vallecano,2.1,1.3,54,43283,Karim Benzema,4-3-3,Pablo González,Match Report,
2021-11-21,16:15 (10:15),La Liga,Matchweek 14,Sun,Away,W,4,1,Granada,3.3,0.7,68,17460,Karim Benzema,4-3-3,Juan Martínez,Match Report,
2021-11-24,22:00 (15:00),Champions Lg,Group stage,Wed,Away,W,3,0,md Sheriff Tiraspol,1.6,0.8,69,5932,Karim Benzema,4-3-3,Szymon Marciniak,Match Report,
2021-11-28,21:00 (15:00),La Liga,Matchweek 15,Sun,Home,W,2,1,Sevilla,1.5,0.5,53,45281,Karim Benzema,4-3-3,José Sánchez,Match Report,
2021-12-01,21:00 (15:00),La Liga,Matchweek 9,Wed,Home,W,1,0,Athletic Club,1.7,1.9,62,33627,Karim Benzema,4-3-3,Isidro Díaz de Mera,Match Report,
2021-12-04,21:00 (15:00),La Liga,Matchweek 16,Sat,Away,W,2,0,Real Sociedad,2.0,0.8,49,35765,Karim Benzema,4-3-3,Jesús Gil,Match Report,
2021-12-07,21:00 (15:00),Champions Lg,Group stage,Tue,Home,W,2,0,it Inter,0.9,1.2,50,44887,Luka Modrić,4-3-3,Felix Brych,Match Report,
2021-12-12,21:00 (15:00),La Liga,Matchweek 17,Sun,Home,W,2,0,Atlético Madrid,0.6,0.7,61,51024,Karim Benzema,4-3-3,Antonio Matéu Lahoz,Match Report,
2021-12-19,21:00 (15:00),La Liga,Matchweek 18,Sun,Home,D,0,0,Cádiz,2.6,0.3,81,38818,Karim Benzema,4-3-3,Santiago Jaime,Match Report,
2021-12-22,21:30 (15:30),La Liga,Matchweek 21,Wed,Away,W,2,1,Athletic Club,1.2,0.9,60,42722,Karim Benzema,4-3-3,César Soto,Match Report,
2022-01-02,14:00 (08:00),La Liga,Matchweek 19,Sun,Away,L,0,1,Getafe,0.6,0.8,73,11890,Karim Benzema,4-3-3,Mario Melero,Match Report,
2022-01-05,21:30 (15:30),Copa del Rey,Round of 32,Wed,Away,W,3,1,Alcoyano,,,58,4850,Marcelo,4-3-3,Adrián Cordero,Match Report,
2022-01-08,21:00 (15:00),La Liga,Matchweek 20,Sat,Home,W,4,1,Valencia,3.6,1.2,67,40617,Karim Benzema,4-3-3,Alejandro Hernández,Match Report,
2022-01-12,22:00 (14:00),Supercopa de España,Semi-finals,Wed,Away,W,3,2,Barcelona,,,47,,Karim Benzema,4-3-3,José Luis Munuera,Match Report,Required Extra Time
2022-01-16,21:30 (13:30),Supercopa de España,Final,Sun,Away,W,2,0,Athletic Club,,,57,,Karim Benzema,4-3-3,César Soto,Match Report,
2022-01-20,19:00 (13:00),Copa del Rey,Round of 16,Thu,Away,W,2,1,Elche,,,59,23528,Marcelo,4-3-3,Jorge Figueroa,Match Report,Required Extra Time
2022-01-23,16:15 (10:15),La Liga,Matchweek 22,Sun,Home,D,2,2,Elche,3.3,0.7,65,39796,Karim Benzema,4-3-3,Ricardo de Burgos,Match Report,
2022-02-03,21:30 (15:30),Copa del Rey,Quarter-finals,Thu,Away,L,0,1,Athletic Club,,,58,38750,Nacho,4-3-3,Jesús Gil,Match Report,
2022-02-06,21:00 (15:00),La Liga,Matchweek 23,Sun,Home,W,1,0,Granada,1.9,0.6,65,36665,Marcelo,4-3-3,Antonio Matéu Lahoz,Match Report,
2022-02-12,16:15 (10:15),La Liga,Matchweek 24,Sat,Away,D,0,0,Villarreal,1.9,0.5,57,17894,Marcelo,4-3-3,José Sánchez,Match Report,
2022-02-15,21:00 (15:00),Champions Lg,Round of 16,Tue,Away,L,0,1,fr Paris S-G,0.1,2.6,43,47443,Karim Benzema,4-3-3,Daniele Orsato,Match Report,Leg 1 of 2
2022-02-19,21:00 (15:00),La Liga,Matchweek 25,Sat,Home,W,3,0,Alavés,3.0,0.8,69,42180,Karim Benzema,4-3-3,José Luis Munuera,Match Report,
2022-02-26,18:30 (12:30),La Liga,Matchweek 26,Sat,Away,W,1,0,Rayo Vallecano,2.2,1.2,66,9952,Karim Benzema,4-3-3,Isidro Díaz de Mera,Match Report,
2022-03-05,21:00 (15:00),La Liga,Matchweek 27,Sat,Home,W,4,1,Real Sociedad,1.6,0.8,65,52410,Karim Benzema,4-3-3,Jesús Gil,Match Report,
2022-03-09,21:00 (15:00),Champions Lg,Round of 16,Wed,Home,W,3,1,fr Paris S-G,1.9,0.9,44,59895,Karim Benzema,4-3-3,Danny Makkelie,Match Report,Leg 2 of 2; Real Madrid won
2022-03-14,21:00 (16:00),La Liga,Matchweek 28,Mon,Away,W,3,0,Mallorca,2.0,1.4,62,17191,Karim Benzema,4-3-3,José Sánchez,Match Report,
2022-03-20,21:00 (16:00),La Liga,Matchweek 29,Sun,Home,L,0,4,Barcelona,0.8,3.5,40,60017,Nacho,4-4-1-1,Juan Martínez,Match Report,
2022-04-02,18:30 (12:30),La Liga,Matchweek 30,Sat,Away,W,2,1,Celta Vigo,2.9,1.7,45,15714,Karim Benzema,4-3-3,Pablo González,Match Report,
2022-04-06,20:00 (15:00),Champions Lg,Quarter-finals,Wed,Away,W,3,1,eng Chelsea,1.9,1.1,43,38689,Karim Benzema,4-3-3,Clément Turpin,Match Report,Leg 1 of 2
2022-04-09,21:00 (15:00),La Liga,Matchweek 31,Sat,Home,W,2,0,Getafe,1.1,0.7,69,50740,Marcelo,4-3-3,César Soto,Match Report,
2022-04-12,21:00 (15:00),Champions Lg,Quarter-finals,Tue,Home,L,2,3,eng Chelsea,0.8,1.9,43,59839,Karim Benzema,4-3-3,Szymon Marciniak,Match Report,Leg 2 of 2; Real Madrid won; Required Extra Time
2022-04-17,21:00 (15:00),La Liga,Matchweek 32,Sun,Away,W,3,2,Sevilla,1.8,1.2,59,40629,Karim Benzema,4-3-3,Guillermo Cuadra,Match Report,
2022-04-20,21:30 (15:30),La Liga,Matchweek 33,Wed,Away,W,3,1,Osasuna,4.5,1.3,65,21360,Karim Benzema,4-3-3,Ricardo de Burgos,Match Report,
2022-04-26,20:00 (15:00),Champions Lg,Semi-finals,Tue,Away,L,3,4,eng Manchester City,1.6,2.7,40,52217,Karim Benzema,4-3-3,István Kovács,Match Report,Leg 1 of 2
2022-04-30,16:15 (10:15),La Liga,Matchweek 34,Sat,Home,W,4,0,Espanyol,2.0,1.6,58,58686,Marcelo,4-3-3,José Luis Munuera,Match Report,
2022-05-04,21:00 (15:00),Champions Lg,Semi-finals,Wed,Home,W,3,1,eng Manchester City,2.6,1.6,47,61416,Karim Benzema,4-2-3-1,Daniele Orsato,Match Report,Leg 2 of 2; Real Madrid won; Required Extra Time
2022-05-08,21:00 (15:00),La Liga,Matchweek 35,Sun,Away,L,0,1,Atlético Madrid,1.2,2.9,58,63874,Nacho,4-3-3,César Soto,Match Report,
2022-05-12,21:30 (15:30),La Liga,Matchweek 36,Thu,Home,W,6,0,Levante,4.3,1.3,53,38421,Karim Benzema,4-3-3,Adrián Cordero,Match Report,
2022-05-15,19:30 (13:30),La Liga,Matchweek 37,Sun,Away,D,1,1,Cádiz,2.0,2.5,62,19643,Nacho,4-3-3,Antonio Matéu Lahoz,Match Report,
2022-05-20,21:00 (15:00),La Liga,Matchweek 38,Fri,Home,D,0,0,Betis,1.3,1.1,52,52232,Karim Benzema,4-3-3,Santiago Jaime,Match Report,
2022-05-28,21:30 (15:30),Champions Lg,Final,Sat,Away,W,1,0,eng Liverpool,0.9,2.4,46,,Karim Benzema,4-3-3,Clément Turpin,Match Report,
