Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
Thibaut Courtois\1840e36d,be BEL,GK,29,53.0,1748,1582,1743,6,1,0,1405,1,1,100.0,1,0,972,4415,2119,0,0,0,0,0,985,977,99.2,0,Matches
Éder Militão\2784f898,br BRA,DF,23,49.9,3134,570,1739,1401,197,55,2996,16,29,55.2,17,1,2057,11383,5584,94,27,2,17,15,2162,2117,97.9,10,Matches
Vinicius Júnior\7111d552,br BRA,FW,21,47.3,2447,16,229,812,1680,380,2419,142,314,45.2,161,16,2207,14459,10540,562,153,139,100,103,2504,2053,82.0,426,Matches
David Alaba\05439de2,at AUT,DF,29,45.2,2919,384,1414,1390,365,61,2805,6,9,66.7,6,0,2137,13109,6986,154,52,8,16,7,2334,2265,97.0,62,Matches
Casemiro\4d224fe8,br BRA,MF,29,43.5,3055,232,999,1673,512,45,2997,25,39,64.1,27,5,1829,6922,3875,120,31,2,29,33,2210,2100,95.0,57,Matches
Karim Benzema\70d74ece,fr FRA,FW,33,43.4,2175,30,114,847,1343,315,2084,50,75,66.7,52,7,1615,7547,4383,265,92,58,47,43,2425,1839,75.8,314,Matches
Luka Modrić\6025fab1,hr CRO,MF,35,38.0,2795,40,600,1484,916,72,2649,39,61,63.9,41,5,2103,10912,5291,234,58,17,30,41,2393,2249,94.0,117,Matches
Toni Kroos\6ce1f46f,de GER,MF,31,37.6,3312,72,712,1989,809,29,3061,12,24,50.0,12,2,2418,9919,5018,199,54,4,11,14,2800,2704,96.6,44,Matches
Federico Valverde\0959c2a2,uy URU,MF,23,31.8,1875,54,344,1028,694,57,1851,33,50,66.0,36,1,1344,9181,5530,238,102,14,23,22,1571,1408,89.6,87,Matches
Ferland Mendy\3cefcaef,fr FRA,DF,26,31.2,2107,115,621,951,699,53,1903,42,70,60.0,43,4,1544,7822,4206,181,68,19,20,25,1599,1506,94.2,78,Matches
Dani Carvajal\4958bfb2,es ESP,DF,29,28.8,2154,165,700,865,691,53,1915,12,28,42.9,14,0,1303,5455,2747,116,45,7,17,22,1507,1417,94.0,78,Matches
Nacho\2946f9a1,es ESP,DF,31,28.3,1558,223,718,724,188,17,1466,7,9,77.8,7,0,1012,4177,2146,47,22,0,6,3,1115,1090,97.8,11,Matches
Lucas Vázquez\fd51b456,es ESP,DF,30,27.9,2092,91,618,891,696,80,1936,24,45,53.3,25,3,1542,7034,3857,172,28,20,36,21,1667,1555,93.3,86,Matches
Rodrygo\8f5e92a6,br BRA,FW,20,26.1,1217,16,125,472,707,161,1172,36,84,42.9,45,3,926,4935,3302,200,44,44,57,29,1226,941,76.8,173,Matches
Marco Asensio\45af8a54,es ESP,FWMF,25,23.8,1215,17,123,525,672,109,1127,20,40,50.0,24,2,897,5148,2713,135,52,19,21,32,1118,932,83.4,152,Matches
Eduardo Camavinga\7b9c2d84,fr FRA,MF,18,18.6,1242,51,312,720,307,29,1227,21,34,61.8,22,2,896,4487,2405,81,32,2,20,21,980,914,93.3,47,Matches
Eden Hazard\a39bb753,be BEL,FWMF,30,10.1,579,5,50,226,349,73,565,21,25,84.0,21,0,461,2948,1752,104,30,17,18,20,598,499,83.4,117,Matches
Marcelo\603116a7,br BRA,DF,33,8.2,601,20,110,269,270,21,554,9,12,75.0,9,0,466,1964,1255,67,25,4,7,3,493,467,94.7,38,Matches
Luka Jović\4d8cd038,rs SRB,FW,23,6.2,174,4,15,94,75,34,171,9,14,64.3,9,0,109,453,174,9,4,1,12,7,211,133,63.0,32,Matches
Mariano\5c4dc0ff,do DOM,FW,27,4.5,102,3,10,43,56,22,95,5,8,62.5,5,0,60,300,167,13,3,3,10,4,131,78,59.5,24,Matches
Andriy Lunin\3061e1ec,ua UKR,GK,22,4.3,89,85,89,0,0,0,59,0,0,,0,0,39,118,68,0,0,0,0,0,41,41,100.0,0,Matches
Jesús Vallejo\c2111b45,es ESP,DF,24,3.9,270,67,164,99,11,1,256,3,4,75.0,3,0,168,565,193,3,0,0,2,1,176,173,98.3,0,Matches
Isco\a0b4bb3e,es ESP,MFFW,29,3.9,318,4,50,176,123,19,304,11,15,73.3,11,2,263,1502,853,46,12,4,8,10,282,262,92.9,20,Matches
Dani Ceballos\c0617e2b,es ESP,MF,24,3.9,336,12,81,204,86,13,333,4,9,44.4,4,1,271,1438,625,22,11,2,7,4,276,261,94.6,12,Matches
Miguel Gutiérrez\7e98cff1,es ESP,DF,20,3.6,272,13,81,121,89,5,234,6,9,66.7,6,0,199,1073,479,21,8,3,0,6,199,188,94.5,5,Matches
Gareth Bale\a58bb1e1,wls WAL,FW,32,3.2,103,0,13,35,58,14,100,1,4,25.0,1,0,61,280,152,13,1,3,4,6,132,80,60.6,14,Matches
Blanco\506daeac,es ESP,MF,21,0.4,39,2,13,20,8,0,39,2,2,100.0,2,1,33,133,71,0,1,0,0,0,29,29,100.0,0,Matches
Peter González\1ccd3dae,do DOM,MFDF,19,0.3,29,1,6,10,17,2,26,2,3,66.7,2,0,23,137,62,5,1,1,2,1,25,20,80.0,2,Matches
Mario Gila\9c435456,es ESP,DF,20,0.3,24,5,18,5,1,0,23,1,1,100.0,1,0,19,58,21,0,0,0,0,0,14,14,100.0,0,Matches
Sergio Santos\cf59e05f,es ESP,DF,20,0.1,7,0,2,4,1,0,6,0,0,,0,0,6,15,13,1,0,0,0,0,6,6,100.0,0,Matches
Latasa\2bea832e,es ESP,FW,20,0.1,7,0,0,5,4,2,7,0,0,,0,0,2,12,11,1,1,0,1,0,6,6,100.0,0,Matches
